,LNCAP_Hypoxia_S1,LNCAP_Hypoxia_S2,LNCAP_Normoxia_S1,LNCAP_Normoxia_S2,PC3_Hypoxia_S1,PC3_Hypoxia_S2,PC3_Normoxia_S1,PC3_Normoxia_S2
ENSG00000000003,331.58443,330.6232756,201.4143829,166.5700033,1335.548277,1184.857109,1050.720979,1087.567382
ENSG00000000419,1095.216785,1101.439624,1185.43615,1075.691548,2489.492256,2473.210773,2229.797077,1972.405932
ENSG00000000457,304.1353878,290.4317341,237.6360431,227.0612151,110.9804045,92.79001458,86.56508064,92.96405016
ENSG00000000460,150.9697322,167.4647561,208.0001393,152.9813978,491.8449745,553.1712408,564.1655255,490.5813731
ENSG00000000938,1.097961689,0.956941463,1.097626065,0.438342114,0,0,0,1.120048797
ENSG00000000971,0,0,0.548813033,0,3.783422881,3.568846715,0,2.240097594
ENSG00000001036,97.71859031,109.5697976,183.3035529,198.1306356,1035.396728,999.2770801,856.695798,819.8757195
ENSG00000001084,699.4015958,836.8453098,502.1639248,412.4799293,1013.957332,895.7805254,925.350862,1011.404064
ENSG00000001167,3195.068515,3043.552324,2533.320958,2218.449439,2914.496759,2594.551562,2044.726905,2077.690519
ENSG00000001460,157.0085215,138.7565122,237.0872301,224.4311624,403.5651073,424.6927591,388.0503615,437.9390797
ENSG00000001461,907.4653359,949.7644024,1201.900541,1198.865682,1008.912768,920.7624524,967.1409009,967.7221607
ENSG00000001497,1268.145751,1175.124117,1552.592069,1585.483427,537.2460491,538.8958539,686.5506395,682.1097175
ENSG00000001561,741.12414,738.7588098,681.6257864,589.1318013,2148.984196,1998.55416,1531.306426,1708.074416
ENSG00000001617,676.8933812,571.7725244,415.4514656,432.2053245,340.5080593,331.9027445,474.6154421,451.3796652
ENSG00000001626,3.293885067,0.956941463,5.488130326,6.575131711,8.827986722,3.568846715,2.985002781,4.480195189
ENSG00000001629,1353.237782,1364.598527,1366.544451,1201.495735,1634.438685,1470.364846,1379.071285,1407.901338
ENSG00000001630,67.52464387,79.42614146,94.3958416,83.72334378,127.375237,103.4965547,122.385114,113.1249285
ENSG00000001631,358.4844914,371.2932878,400.0847007,327.0032171,320.3298039,321.1962043,286.5602669,327.0542488
ENSG00000002016,256.3740544,295.2164415,336.422389,315.16798,200.5214127,153.4604087,208.9501946,210.5691739
ENSG00000002330,136.1472494,153.1106341,119.6412411,229.6912678,218.1773861,253.3881167,319.3952975,221.7696618
ENSG00000002549,1192.386394,1205.267773,2110.18611,2222.394518,953.422566,870.7985984,994.0059259,1077.486943
ENSG00000002586,4653.161638,4899.540293,3947.612143,4137.511215,4980.245652,5192.67197,3501.408262,3422.869124
ENSG00000002587,41.17356333,44.01930732,133.9103799,184.9803721,71.88503474,60.67039415,47.76004449,47.04204948
ENSG00000002726,7.136750978,4.784707317,3.841691228,3.068394798,1.26114096,0,0,0
ENSG00000002745,0,0.478470732,1.097626065,0,3.783422881,0,0,4.480195189
ENSG00000002746,0,2.392353659,0.548813033,0.876684228,21.43939632,28.55077372,26.86502503,49.28214707
ENSG00000002822,2.195923378,2.392353659,1.097626065,2.19171057,1.26114096,7.13769343,8.955008342,4.480195189
ENSG00000002834,2204.15809,2167.472415,2275.378833,2115.439042,8228.944766,8040.611648,7686.38216,7589.450649
ENSG00000002919,184.4575637,165.0724024,195.3774396,244.1565575,528.4180624,503.2073868,486.5554532,481.6209828
ENSG00000002933,3.293885067,0.478470732,0.548813033,0.438342114,0,0,0,0
ENSG00000003056,1177.014931,1157.4207,1248.000836,1183.085366,3304.189316,3497.46978,3737.223481,3287.34322
ENSG00000003096,37.87967827,44.01930732,66.40637694,92.49018606,348.074905,303.3519708,355.2153309,312.4936144
ENSG00000003137,28.54700391,41.14848293,17.56201704,15.34197399,775.6016906,649.5301021,561.1805228,526.4229347
ENSG00000003147,1420.213445,1324.885456,1482.344001,1492.99324,37.83422881,64.23924087,41.79003893,67.20292783
ENSG00000003249,1118.27398,1099.525741,824.8659879,1016.515362,664.6212861,506.7762335,537.3005005,478.2608364
ENSG00000003393,1155.604678,1087.563973,1008.169541,861.7805962,1001.345922,924.3312991,901.4708397,1097.647821
ENSG00000003400,25.25311884,25.35894878,37.86809925,33.31400067,1.26114096,10.70654014,11.94001112,5.600243986
ENSG00000003402,1370.256188,1416.751837,1425.267446,1182.208682,957.2059888,885.0739853,862.6658036,890.4387937
ENSG00000003436,4967.178681,4894.755585,2668.328964,2241.681571,3681.270463,3397.542072,1826.821702,2056.409592
ENSG00000003509,473.2214879,449.7624878,492.8341032,480.8612991,465.3610143,581.7220145,611.92557,601.4662041
ENSG00000003756,1974.684097,1797.136068,1585.520851,1621.865822,895.4100818,738.75127,716.4006673,840.0365979
ENSG00000003987,23.05719547,30.1436561,14.81795188,10.08186862,37.83422881,28.55077372,26.86502503,42.56185429
ENSG00000003989,427.6560778,441.6284854,319.957998,277.4705582,182.8654392,114.2030949,322.3803003,356.1755175
ENSG00000004059,1559.105598,1564.599293,1300.138074,1754.24514,928.1997468,1109.911328,1125.346048,1133.489383
ENSG00000004139,199.8290274,203.8285317,285.3827769,284.9223741,41.61765169,42.82616058,110.4451029,109.7647821
ENSG00000004142,2294.73993,2301.92269,2967.98088,3288.44254,1538.591972,1605.981022,1988.011852,1774.157295
ENSG00000004399,141.6370579,122.0100366,46.64910777,39.45079026,196.7379898,239.1127299,202.9801891,249.7708818
ENSG00000004455,4038.852073,4279.920695,4678.082289,4083.156792,4489.661819,4357.561839,3367.083137,3520.313369
ENSG00000004468,0.548980844,1.435412195,4.939317293,3.068394798,2.522281921,3.568846715,0,4.480195189
ENSG00000004478,4227.701483,4755.999073,6605.51366,6084.626885,3941.065501,3643.792496,4149.153865,3804.805764
ENSG00000004487,2601.620222,2725.847759,2070.671572,1827.448273,2310.410239,2219.822657,2193.977044,2240.097594
ENSG00000004534,4261.738295,4047.38392,2686.988607,2557.726235,696.1498101,617.4104817,659.6856145,632.8275704
ENSG00000004660,272.2944988,322.0108024,346.8498366,316.0446642,127.375237,228.4061897,340.290317,262.0914185
ENSG00000004700,723.556753,752.634461,882.4913563,711.8675932,2987.642935,2947.867386,1958.161824,2077.690519
ENSG00000004766,383.7376103,420.5757732,627.2932962,474.2861674,1214.478745,1081.360555,1107.436032,1187.251725
